composition,id,energyperatom
O4Sc1V1,icsd_169173,-8.04687191667
K1O8W2Y1,icsd_090379,-8.038847083330001
K1O8W2Y1,icsd_090378,-8.03883745833
N4Si3,icsd_097566,-8.03798792857
O7V2Zr1,icsd_084883,-8.03739545
O7V2Zr1,icsd_084885,-8.037261975
Nb1O1,icsd_040318,-8.03454266667
B3C2Nb4,icsd_411623,-8.0338125
La1O4V1,icsd_008294,-8.033599208330001
Hf1Mo2O8,icsd_098065,-8.0316445
Al2O15Ti7,icsd_202646,-8.03072075
B2Fe1W2,icsd_614261,-8.0297802
Hf1N2Sr1,icsd_082538,-8.0295775
C4N6Sr1,icsd_411363,-8.02855013636
Ba1O9Ti4,icsd_048019,-8.02849485714
Mn2O7Y2,icsd_056516,-8.02487309091
Ca1O3Zr1,icsd_097465,-8.0231696
Ca1O7Si2Zr1,icsd_203131,-8.02114518182
O5V3,icsd_000195,-8.02109346875
O5V3,icsd_016445,-8.0210575
Mn2O7Y2,icsd_202516,-8.02038663636
Al1O3Sc1,icsd_066885,-8.02030035
Mn1N1,icsd_106932,-8.0195885
Al5O12Y3,icsd_031496,-8.0182155375
O5V3,icsd_032587,-8.01780675
O16V13,icsd_077708,-8.016936810339999
Hf5K4O12,icsd_180186,-8.015160809520001
Al2Na3Nb34O64,icsd_065161,-8.0094188835
O5V3,icsd_015899,-8.00508475
B2W1,icsd_615700,-8.00348125
Mn1N2Si1,icsd_172193,-8.0023351875
Ba1O10Sc2Si3,icsd_167617,-8.001743125
Ba1La2O7Sc2,icsd_167599,-8.001739291669999
Hf9Mo4P1,icsd_638625,-8.001733999999999
O5V3,icsd_653661,-8.001395500000001
Ba4O30Ti13,icsd_300032,-8.00136059574
Hf1P1,icsd_042914,-8.00076275
Na1Nb10O18,icsd_085052,-8.00061494828
La2Mo1O6,icsd_079807,-7.991907194439999
C1Fe1N2,icsd_419223,-7.990744999999999
Ba1N10Si7,icsd_405772,-7.989228861110001
O7Si2Sr1Zr1,icsd_075272,-7.988998295449999
Mo3O12Y2,icsd_414554,-7.987087352939999
C1Fe3W3,icsd_076759,-7.98642385714
Ca1O4Sc2,icsd_026074,-7.98599185714
Ba1Hf1N2,icsd_184053,-7.98414775
Ge1O5Y2,icsd_260425,-7.98307509375
C1V1,icsd_619065,-7.982741499999999
C7V8,icsd_022177,-7.97690305
Ba2O22Ti13,icsd_075519,-7.976173391889999
O7V4,icsd_019013,-7.97616677273
C3N4,icsd_083263,-7.97614714286
Al2Nb35O70Rb4,icsd_075069,-7.976113549550001
La1Mn1O3,icsd_180180,-7.97606515
La1Mn1O3,icsd_161928,-7.97560305
O7V4,icsd_002212,-7.97424172727
Al1N3Nb4,icsd_181352,-7.9741765625
C2Mo1Y1,icsd_618370,-7.971288375
Ba1O15V10,icsd_014173,-7.97042836538
C3N4,icsd_083264,-7.97040157143
Cr2Mn3O12Si3,icsd_077436,-7.970222575
Fe1O5Ti2,icsd_037231,-7.970213875
Cr2Mn3O12Si3,icsd_027379,-7.9701217125
Ba1N7Si4Y1,icsd_098276,-7.969996538460001
Ba1O3Zr1,icsd_097461,-7.9695100000000005
La1Mn1O3,icsd_054919,-7.9690518
Fe1Nb2O6,icsd_015855,-7.96855875
